1 25200 52200 
2 25214 55194 
3 29083 54614 
4 29352 57815 
5 29160 66480 
6 
7 
8 24240 59027 
9 30000 60970 
10 29340 56748 
11 29460 57576 
12 28980 56220 
13 47700 54360 
14 
15 29029 59745 
16 29247 60185 
17 29117 57978 
18 29022 60860 
19 29520 60480 
20 
21 
22 29397 59938 
23 27521 59037 
24 28812 58174 
25 29406 60571 
26 28680 58920 
27 
28 
29 27578 58977 
30 28175 54838 
31 28248 58909 
32 29868 62578 
33 26880 58920 
34 
35 
36 28339 56308 
37 27691 60840 
38 27963 60407 
39 28980 52560 
40 25200 55800 
41 
42 
43 30960 54625 
44 29167 57224 
45 30366 61216 
46 26251 58600 
47 27849 59610 
48 47340 60780 
49 29040 59520 
50 22535 55513 
51 22061 53157 
52 22545 52193 
53 22829 56229 
54 25740 56220 
55 
56 
57 25200 55800 
58 22793 52260 
59 23203 53532 
60 25620 61777 
61 28200 54720 
62 
63 
64 23876 52429 
65 23890 55108 
66 24674 59289 
67 30183 58429 
68 27300 57900 
69 
70 
71 23880 40765 
